index|mac|seq|id|len|power|timestamp|OUI|random|vendor
0|da:a1:19:f4:46:b5|587|3|1|-65|1579269364.130873|da:a1:19|True|Google, Inc.
1|da:a1:19:f4:46:b5|587|50|4|-65|1579269364.130873|da:a1:19|True|Google, Inc.
2|da:a1:19:f4:46:b5|591|3|1|-65|1579269364.295907|da:a1:19|True|Google, Inc.
3|da:a1:19:f4:46:b5|591|50|4|-65|1579269364.295907|da:a1:19|True|Google, Inc.
4|da:a1:19:f4:46:b5|592|3|1|-65|1579269364.340929|da:a1:19|True|Google, Inc.
5|da:a1:19:f4:46:b5|592|50|4|-65|1579269364.340929|da:a1:19|True|Google, Inc.
6|da:a1:19:f4:46:b5|593|3|1|-65|1579269364.380933|da:a1:19|True|Google, Inc.
7|da:a1:19:f4:46:b5|593|50|4|-65|1579269364.380933|da:a1:19|True|Google, Inc.
8|da:a1:19:f4:46:b5|595|3|1|-65|1579269364.465909|da:a1:19|True|Google, Inc.
9|da:a1:19:f4:46:b5|595|50|4|-65|1579269364.465909|da:a1:19|True|Google, Inc.
10|da:a1:19:f4:46:b5|596|3|1|-65|1579269364.505948|da:a1:19|True|Google, Inc.
11|da:a1:19:f4:46:b5|596|50|4|-65|1579269364.505948|da:a1:19|True|Google, Inc.
12|da:a1:19:f4:46:b5|597|3|1|-65|1579269364.550931|da:a1:19|True|Google, Inc.
13|da:a1:19:f4:46:b5|597|50|4|-65|1579269364.550931|da:a1:19|True|Google, Inc.
14|da:a1:19:f4:46:b5|599|3|1|-65|1579269364.630939|da:a1:19|True|Google, Inc.
15|da:a1:19:f4:46:b5|599|50|4|-65|1579269364.630939|da:a1:19|True|Google, Inc.
16|da:a1:19:34:4d:6c|2115|50|4|-65|1579269365.91942|da:a1:19|True|Google, Inc.
17|da:a1:19:de:eb:72|2117|50|4|-65|1579269366.000747|da:a1:19|True|Google, Inc.
18|da:a1:19:de:eb:72|2118|50|4|-65|1579269366.02545|da:a1:19|True|Google, Inc.
19|da:a1:19:ed:52:ac|2119|50|4|-65|1579269366.082162|da:a1:19|True|Google, Inc.
20|72:04:c6:6c:59:8b|3070|50|8|-65|1579269381.339695|72:04:c6|True|not_resolved
21|72:04:c6:6c:59:8b|3071|50|8|-65|1579269381.363336|72:04:c6|True|not_resolved
22|72:04:c6:6c:59:8b|3071|3|1|-65|1579269381.363336|72:04:c6|True|not_resolved
23|72:04:c6:6c:59:8b|3071|45|26|-65|1579269381.363336|72:04:c6|True|not_resolved
24|72:04:c6:6c:59:8b|3071|127|8|-65|1579269381.363336|72:04:c6|True|not_resolved
25|72:04:c6:6c:59:8b|3071|107|7|-65|1579269381.363336|72:04:c6|True|not_resolved
26|72:04:c6:6c:59:8b|3071|221|11|-65|1579269381.363336|72:04:c6|True|not_resolved
27|72:04:c6:6c:59:8b|3071|221|30|-65|1579269381.363336|72:04:c6|True|not_resolved
28|72:04:c6:6c:59:8b|3071|221|8|-65|1579269381.363336|72:04:c6|True|not_resolved
29|72:04:c6:6c:59:8b|3071|221|9|-65|1579269381.363336|72:04:c6|True|not_resolved
30|72:04:c6:6c:59:8b|3072|169|4|-65|1579269381.385936|72:04:c6|True|not_resolved
31|88:28:b3:54:14:4e|2763|50|4|-65|1579269386.448829|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
32|88:28:b3:54:14:4e|2763|221|142|-65|1579269386.448829|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
33|88:28:b3:54:14:4e|2763|221|17|-65|1579269386.448829|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
34|88:28:b3:54:14:4e|2764|50|4|-65|1579269386.450809|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
35|88:28:b3:54:14:4e|2764|221|142|-65|1579269386.450809|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
36|88:28:b3:54:14:4e|2764|221|17|-65|1579269386.450809|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
37|88:28:b3:54:14:4e|2765|50|4|-65|1579269386.503435|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
38|88:28:b3:54:14:4e|2765|28|42|-65|1579269386.503435|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
39|88:28:b3:54:14:4e|2765|82|58|-65|1579269386.503435|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
40|88:28:b3:54:14:4e|2766|50|4|-65|1579269386.505384|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
41|88:28:b3:54:14:4e|2766|61|49|-65|1579269386.505384|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
42|88:28:b3:54:14:4e|2766|219|24|-65|1579269386.505384|88:28:b3|False|HUAWEI TECHNOLOGIES CO.,LTD
43|e6:c0:20:8d:a1:34|1449|50|8|-65|1579269389.331363|e6:c0:20|True|not_resolved
44|e6:c0:20:8d:a1:34|1449|45|26|-65|1579269389.331363|e6:c0:20|True|not_resolved
45|e6:c0:20:8d:a1:34|1449|191|4|-65|1579269389.331363|e6:c0:20|True|not_resolved
46|e6:c0:20:8d:a1:34|1450|50|8|-65|1579269389.373486|e6:c0:20|True|not_resolved
47|e6:c0:20:8d:a1:34|1451|50|8|-65|1579269389.415515|e6:c0:20|True|not_resolved
48|e6:c0:20:8d:a1:34|1451|45|26|-65|1579269389.415515|e6:c0:20|True|not_resolved
49|e6:c0:20:8d:a1:34|1451|127|9|-65|1579269389.415515|e6:c0:20|True|not_resolved
50|e6:c0:20:8d:a1:34|1452|50|8|-65|1579269389.457633|e6:c0:20|True|not_resolved
51|3e:40:8c:bf:20:0b|587|50|8|-65|1579269389.985655|3e:40:8c|True|not_resolved
52|3e:40:8c:bf:20:0b|587|3|1|-65|1579269389.985655|3e:40:8c|True|not_resolved
53|3e:40:8c:bf:20:0b|587|45|26|-65|1579269389.985655|3e:40:8c|True|not_resolved
54|3e:40:8c:bf:20:0b|587|127|10|-65|1579269389.985655|3e:40:8c|True|not_resolved
55|3e:40:8c:bf:20:0b|587|191|12|-65|1579269389.985655|3e:40:8c|True|not_resolved
56|3e:40:8c:bf:20:0b|587|221|7|-65|1579269389.985655|3e:40:8c|True|not_resolved
57|3e:40:8c:bf:20:0b|587|255|3|-65|1579269389.985655|3e:40:8c|True|not_resolved
58|3e:40:8c:bf:20:0b|587|221|10|-65|1579269389.985655|3e:40:8c|True|not_resolved
59|da:a1:19:0a:7e:9d|2674|50|4|-65|1579269394.561278|da:a1:19|True|Google, Inc.
60|da:a1:19:06:95:69|2676|50|4|-65|1579269394.647917|da:a1:19|True|Google, Inc.
61|da:a1:19:06:95:69|2677|50|4|-65|1579269394.67296|da:a1:19|True|Google, Inc.
62|da:a1:19:cf:54:eb|2678|50|4|-65|1579269394.73496|da:a1:19|True|Google, Inc.
63|da:a1:19:98:b8:d8|1374|50|4|-65|1579269403.176142|da:a1:19|True|Google, Inc.
64|e2:7c:63:de:c7:d4|2219|50|8|-65|1579269403.496349|e2:7c:63|True|not_resolved
65|e2:7c:63:de:c7:d4|2219|3|1|-65|1579269403.496349|e2:7c:63|True|not_resolved
66|e2:7c:63:de:c7:d4|2219|45|26|-65|1579269403.496349|e2:7c:63|True|not_resolved
67|e2:7c:63:de:c7:d4|2219|127|8|-65|1579269403.496349|e2:7c:63|True|not_resolved
68|e2:7c:63:de:c7:d4|2220|50|8|-65|1579269403.551609|e2:7c:63|True|not_resolved
69|e2:7c:63:de:c7:d4|2220|3|1|-65|1579269403.551609|e2:7c:63|True|not_resolved
70|e2:7c:63:de:c7:d4|2220|45|26|-65|1579269403.551609|e2:7c:63|True|not_resolved
71|5e:1c:3f:ea:8f:a0|3803|50|8|-65|1579269403.997475|5e:1c:3f|True|not_resolved
72|5e:1c:3f:ea:8f:a0|3803|3|1|-65|1579269403.997475|5e:1c:3f|True|not_resolved
73|5e:1c:3f:ea:8f:a0|3803|45|26|-65|1579269403.997475|5e:1c:3f|True|not_resolved
74|5e:1c:3f:ea:8f:a0|3803|63|4|-65|1579269403.997475|5e:1c:3f|True|not_resolved
75|5e:1c:3f:ea:8f:a0|3804|50|8|-65|1579269404.052681|5e:1c:3f|True|not_resolved
76|5e:1c:3f:ea:8f:a0|3804|3|1|-65|1579269404.052681|5e:1c:3f|True|not_resolved
77|5e:1c:3f:ea:8f:a0|3804|45|26|-65|1579269404.052681|5e:1c:3f|True|not_resolved
78|5e:1c:3f:ea:8f:a0|3804|116|8|-65|1579269404.052681|5e:1c:3f|True|not_resolved
79|da:b4:90:1a:29:cd|2749|50|8|-65|1579269405.353149|da:b4:90|True|not_resolved
80|da:b4:90:1a:29:cd|2749|3|1|-65|1579269405.353149|da:b4:90|True|not_resolved
81|da:b4:90:1a:29:cd|2749|45|26|-65|1579269405.353149|da:b4:90|True|not_resolved
82|da:b4:90:1a:29:cd|2749|127|8|-65|1579269405.353149|da:b4:90|True|not_resolved
83|da:b4:90:1a:29:cd|2750|50|8|-65|1579269405.373336|da:b4:90|True|not_resolved
84|da:b4:90:1a:29:cd|2750|3|1|-65|1579269405.373336|da:b4:90|True|not_resolved
85|da:b4:90:1a:29:cd|2750|45|26|-65|1579269405.373336|da:b4:90|True|not_resolved
86|da:b4:90:1a:29:cd|2750|127|8|-65|1579269405.373336|da:b4:90|True|not_resolved
87|5e:f1:fc:66:be:0c|3076|50|8|-65|1579269405.412503|5e:f1:fc|True|not_resolved
88|5e:f1:fc:66:be:0c|3076|3|1|-65|1579269405.412503|5e:f1:fc|True|not_resolved
89|5e:f1:fc:66:be:0c|3076|45|26|-65|1579269405.412503|5e:f1:fc|True|not_resolved
90|5e:f1:fc:66:be:0c|3076|127|8|-65|1579269405.412503|5e:f1:fc|True|not_resolved
