mac_address,vendor
00:50:c2,DEUTA-WERKE GmbH
40:d8:55,DEUTA-WERKE GmbH
40:d8:55,KRONOTECH SRL
00:50:c2,Elbit Systems of America
00:50:c2,Algodue Elettronica Srl
00:50:c2,"SP Controls, Inc"
00:50:c2,Open System Solutions Limited
40:d8:55,"APG Cash Drawer, LLC"
00:50:c2,Scharff Weisberg Systems Integration Inc
00:50:c2,Thor Technologies Pty Ltd
00:50:c2,Honeywell
00:50:c2,Honeywell
00:50:c2,Oliotalo Oy
00:50:c2,Atlas Copco IAS GmbH
40:d8:55,MB connect line GmbH Fernwartungssysteme
00:50:c2,Triax A/S
00:50:c2,Covidence A/S
00:50:c2,Critical Link LLC
00:50:c2,Critical Link LLC
00:50:c2,Wireless Reading Systems Holding ASA
00:50:c2,PSD
00:50:c2,"Advanced Concepts, Inc."
00:50:c2,Albert Handtmann Maschinenfabrik GmbH&Co.KG
00:50:c2,MedAvant Healthcare
00:50:c2,AutoTOOLS group Co. Ltd.
40:d8:55,Avant Technologies
00:50:c2,Phytec Messtechnik GmbH
00:50:c2,Phytec Messtechnik GmbH
00:50:c2,Xentras Communications
00:50:c2,Narrowband Telecommunications
00:50:c2,Fr. Sauter AG
00:50:c2,DRS Photronics
00:50:c2,"Cominfo, Inc."
00:50:c2,Applied Micro Electronics AME bv
00:50:c2,DORLET SAU
00:50:c2,DORLET SAU
00:50:c2,DORLET SAU
00:50:c2,DRS Imaging and Targeting Solutions
00:50:c2,SAET I.S. S.r.l.
00:50:c2,Sierra Video Systems
40:d8:55,Telefrang AB
00:50:c2,Edgeware AB
00:50:c2,Navicron Oy
00:50:c2,EDA Industries Pte. Ltd
00:50:c2,Owasys Advanced Wireless Devices
00:50:c2,IAdea Corporation
40:d8:55,DAVE SRL
00:50:c2,DSP4YOU LTd
00:50:c2,"SecureTech Systems, Inc."
00:50:c2,Naturela Ltd.
00:50:c2,Partner Voxstream A/S
00:50:c2,NOMUS COMM SYSTEMS
00:50:c2,"ABB Transmission and Distribution Automation Equipment (Xiamen) Co., Ltd."
00:50:c2,PYRAMID Computer GmbH
00:50:c2,CT Company
00:50:c2,Alyrica Networks
00:50:c2,Rohde&Schwarz Topex SA
00:50:c2,Rohde&Schwarz Topex SA
00:50:c2,Rohde&Schwarz Topex SA
00:50:c2,Rohde&Schwarz Topex SA
00:50:c2,Plastic Logic
40:d8:55,Georg Neumann GmbH
00:50:c2,Aplex Technology Inc.
00:50:c2,Vacon Plc
00:50:c2,United Telecoms Ltd
00:50:c2,Elfiq Inc.
00:50:c2,HaiVision Systems Incorporated
00:50:c2,TORC Technologies
00:50:c2,"LAN Controls, Inc."
00:50:c2,Vaisala Oyj
00:50:c2,SysNova
00:50:c2,Sicon srl
00:50:c2,"Intuitive Surgical, Inc"
00:50:c2,"Intuitive Surgical, Inc"
00:50:c2,Haag-Streit AG
00:50:c2,AARTESYS AG
00:50:c2,ENGICAM s.r.l.
00:50:c2,Ellips B.V.
00:50:c2,Efficient Channel Coding
00:50:c2,"DELTA TAU DATA SYSTEMS, INC."
00:50:c2,Digital Payment Technologies
00:50:c2,Arecont Vision
00:50:c2,AIM
00:50:c2,Grupo Epelsa S.L.
40:d8:55,"EMAC, Inc."
00:50:c2,Digital Receiver Technology
00:50:c2,"EMAC, Inc."
40:d8:55,ELNEC s.r.o.
40:d8:55,QED Advanced Systems Limited
40:d8:55,Magic Systems
40:d8:55,Triamec Motion AG
40:d8:55,Webeasy BV
40:d8:55,Futaba Corporation
40:d8:55,Patria Aviation Oy
40:d8:55,"Autonomous Solutions, Inc"
40:d8:55,Northern Star Technologies
40:d8:55,Parris Service Corporation
40:d8:55,PRESSOL Schmiergeraete GmbH
40:d8:55,Thirdwayv Inc.
40:d8:55,"Broachlink Technology Co.,Limited"
40:d8:55,"ENTEC Electric & Electronic CO., LTD"
40:d8:55,Multiobrabotka
40:d8:55,"Beat Sensing co. , ltd."
40:d8:55,Telvent
40:d8:55,eROCCA
40:d8:55,OPASCA Systems GmbH
40:d8:55,PLATINUM GmbH
40:d8:55,Actronic Technologies
40:d8:55,ICS Eletronics
40:d8:55,Tokyo Drawing Ltd.
40:d8:55,TDS Software Solutions Pty Ltd
40:d8:55,hanatech
40:d8:55,"Tetracore, Inc."
40:d8:55,"shanghai Anjian Information technology co. , ltd."
40:d8:55,Perm Scientific-Industrial Instrument Making Company JSC
40:d8:55,LIGHTSTAR
40:d8:55,GDE Polska
40:d8:55,Private
40:d8:55,WOW System
40:d8:55,"Mango DSP, Inc."
40:d8:55,MONOGRAM technologies ltd
40:d8:55,eumig industrie-tv GmbH
40:d8:55,Sicon srl
40:d8:55,RCS Energy Management Limited
40:d8:55,"Smith Meter, Inc"
40:d8:55,ObjectFab GmbH
40:d8:55,IntelliDesign Pty Ltd
40:d8:55,A-Z-E
40:d8:55,HEITEC AG
40:d8:55,Siegmar Zander HuSWare
40:d8:55,VPG
40:d8:55,deskontrol electronics
40:d8:55,"Mitsubishi Heavy Industries, Ltd."
40:d8:55,ELAN SYSTEMS
40:d8:55,NVS Technologies Inc
40:d8:55,Inspired Systems
40:d8:55,Alumbra Produtos Elétricos e Eletrônicos Ltda
40:d8:55,Baudisch Electronic GmbH
40:d8:55,DATA SHARING CONSULTING
40:d8:55,Space Micro
40:d8:55,Micrologic
40:d8:55,EnVerv Inc.
40:d8:55,GD Mission Systems
40:d8:55,Ever Trend Technology Development Limited
40:d8:55,Tokyo Denki Gijutsu Kogyo
40:d8:55,Heart Force Medical
40:d8:55,KDT
40:d8:55,Lyngsoe Systems
40:d8:55,Excelitas
40:d8:55,Leder Elektronik Design
40:d8:55,C-COM Satellite Systems Inc.
40:d8:55,BRS Sistemas Eletrônicos
40:d8:55,Smartcom-Bulgaria AD
40:d8:55,"BroadSoft, INC"
40:d8:55,CT Company
40:d8:55,"Diamond Technologies, Inc"
40:d8:55,ard sa
40:d8:55,TESCOM CORPORATION
40:d8:55,Tammermatic Group Oy
40:d8:55,Amantys Ltd
40:d8:55,Circuitlink Pty Ltd
40:d8:55,inoage GmbH
