mac_address,vendor
74:1a:e0,Private
20:85:93,IOG Products LLC
b0:c5:ca,Private
b0:1f:81,Private
20:85:93,"Shanghai Kenmyond Industrial Network Equipment Co.,Ltd"
20:85:93,"H3 Industries, Inc."
24:15:10,"Teknic, Inc."
98:06:37,GS GLOBAL SECURITY INC
b4:a2:eb,"Shanghai Shenou Communication Equipment Co., Ltd."
24:15:10,"GANZHOU DEHUIDA TECHNOLOGY CO., LTD"
24:15:10,Nile Global Inc
24:15:10,Helen of Troy
98:06:37,Zoleo Inc.
98:06:37,E. P. Schlumberger
b4:37:d1,Private
44:d5:f2,SYS TEC electronic GmbH
44:d5:f2,"Shenzhen Nation RFID Technology Co.,Ltd."
d0:5f:64,TytoCare LTD.
d0:5f:64,Cyrus Technology GmbH
d0:5f:64,Montblanc-Simplo GmbH
44:d5:f2,Beam Communications Pty Ltd
fc:a4:7a,Innovative Advantage
fc:a4:7a,"Shenzhen Elebao Technology Co., Ltd"
fc:a4:7a,"Shenzhen ALFEYE Technology CO.,Ltd"
2c:16:bd,LINGDONG TECHNOLOGY (BEIJING) CO. LTD
2c:16:bd,"Beijing CHJ Automotive Co., Ltd."
b4:a2:eb,Quantitec GmbH
b4:a2:eb,"CURRENT WAYS, INC."
b4:a2:eb,Annapurna labs
b4:a2:eb,"Hengkang（Hangzhou）Co.,Ltd"
8c:59:3c,Guralp Systems Limited
8c:59:3c,"Beida Jade Bird Universal Fire Alarm Device CO.,LTD."
8c:59:3c,OBO Pro.2 Inc.
8c:59:3c,GENIS
d0:c8:57,"Beijing Inspiry Technology Co., Ltd."
bc:97:40,"Shanghai Laisi Information Technology Co.,Ltd"
f4:0e:11,Private
d0:c8:57,E-T-A Elektrotechnische Apparate GmbH
bc:97:40,Airfi Oy AB
bc:97:40,comtac AG
bc:97:40,Precision Galaxy Pvt. Ltd
60:95:ce,Xiamen Sigmastar Technology Ltd.
1c:82:59,"KeyWest Networks, Inc"
88:5d:90,Private
60:95:ce,"Beijing Sinomedisite Bio-tech Co.,Ltd"
60:95:ce,Siema Applications
60:95:ce,Trophy SAS
60:95:ce,VNS Inc.
84:8b:cd,exodraft a/s
1c:82:59,3xLOGIC Inc.
84:8b:cd,CCX Technologies Inc.
84:8b:cd,TWTG R&D B.V.
b0:fd:0b,DMAC Security LLC
b0:fd:0b,eSenseLab Ltd.
b0:fd:0b,"TEMCO JAPAN CO., LTD."
c8:2c:2b,Grav I.T.
c8:2c:2b,Galgus
c8:2c:2b,"Kunshan SVL Electric  Co.,Ltd"
c8:2c:2b,Merpa Bilgi Islem Ltd.Sti
e4:1e:0a,SAGE Glass
c8:2c:2b,"UBITRON Co.,LTD"
c8:63:14,"Autonics Co., Ltd."
c8:63:14,"Thinci, Inc."
c8:63:14,Maxcom S.A.
fc:d2:b6,"Bee Smart(Changzhou) Information Technology Co., Ltd"
74:5b:c5,CELYSS SAS
fc:d2:b6,Coet Costruzioni Elettrotecniche
a8:3f:a1,"MEDCAPTAIN MEDICAL TECHNOLOGY CO., LTD."
74:5b:c5,Fournie Grospaud Energie SASU
74:5b:c5,ComNot
4c:bc:98,Wonder Workshop
4c:bc:98,JSC NIC
e4:4c:c7,EPS Bio
e4:4c:c7,"Doowon Electronics & Telecom Co.,Ltd"
e0:5a:9f,Fibrain
f8:02:78,Private
4c:bc:98,"Shenzhen Cogitation Technology Co.,Ltd."
e0:5a:9f,Gemalto Document Readers
d8:86:0b,Grünbeck Wasseraufbereitung GmbH
d8:86:0b,"Inspur Group Co., Ltd."
d8:86:0b,CAMTRACE
38:b1:9e,System Q Ltd
cc:d3:9d,Ethernity Networks
cc:d3:9d,"SHENZHEN ROYOLE TECHNOLOGIES CO., LTD."
d4:25:cc,"Barobo, Inc."
9c:69:b4,"BEIJING PICOHOOD TECHNOLOGY CO.,LTD"
9c:69:b4,Elesta GmbH
9c:69:b4,Toughdog Security Systems
6c:df:fb,Chongqing Baoli Yota Technologies Limited
a4:4f:29,Private
4c:91:7a,"Chongqing Unisinsight Technology Co.,Ltd."
4c:91:7a,"Shenzhen bankledger Technology Co, Ltd"
6c:df:fb,"Beijing Fimi Technology Co., Ltd."
6c:df:fb,Beijing Ainemo Co Ltd
4c:91:7a,"Shenzhen Dangs Science & Technology CO.,LTD"
